id	generation	major_rev	owned_by_id	name	item_number	classification	description
76888E2639AD4B998AD492DBB1107753	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Spacer Black 11-16 in length 5mm ID 7mm OD	MP2666	Component	
799A51B95676484691318B717A02B680	2	E	DBA5D86402BF43D5976854B8B48FCDD1	Makerbot MightyBoard - bare board	MP3598	Component	
79D68567065045F59E19125898CFF019	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Extruder Carriage no belt clip 2	MP2414	Component	
7A934DA66BC04562A1A729602654AF32	3	B	DBA5D86402BF43D5976854B8B48FCDD1	Spacer Black 22 mm length .14in ID 516in OD	MP2664	Component	
7B2E1053EAF4424289FE4E6BA612A525	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Stepper Motor Assembly	MP2963	Assembly	
7CEA7517E81B4E2295C4CE963E53A27B	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 4.7K	MP3676	Component	4.7k ohm resistor 1206 0.1% SMT
7D10C7CAB2AF4F349A92FBD846EE3B28	1	D	DBA5D86402BF43D5976854B8B48FCDD1	Motor Wiring Harness 12in Moons	MP2604	Component	
7D40EEE469E44DECAA126C2DB65D0912	3	A	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Back Panel	MP2196	Component	
7E82C4D8C31A40F7B87092F8779E9BF1	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3x12 Flat Head Socket Bolt	MP1913-001	Component	
7ED875D438FA400495A5968647376A2D	4	B	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic Heater Board	MP2338	Assembly	
7F2ABFB447CC449A81CC5327643F0F44	4	B	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Front Panel	MP2194	Component	
7F4A5A08195A44B597212A1B68451D30	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Cover Shipping	MP2999	Assembly	
8207FD7C23744F3B94ED75B8BDA76FCA	3	B	DBA5D86402BF43D5976854B8B48FCDD1	Makerbot Replicator	MP0101	Assembly	The MakerBot Replicator by MakerBot. Published on March 12, 2012. www.thingiverse.com/thing:18813   
82551AFF68724CA9B75714156F8D8458	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Fan Assembly	P6744		
